DESPACHO CIFRADO;OPERACION;DESTINACION;REGIMEN;OFICIALIZACION;CANCELACION;AÑO;MES;ADUANA;COTIZACION;MEDIO TRANSPORTE;CANAL;ITEM;PAIS ORIGEN;PAIS PROCEDENCIA/DESTINO;USO;UNIDAD MEDIDA ESTADISTICA;CANTIDAD ESTADISTICA;KILO NETO;KILO BRUTO;FOB DOLAR;FLETE DOLAR;SEGURO DOLAR;IMPONIBLE DOLAR;IMPONIBLE GS;AJUSTE A INCLUIR;AJUSTE A DEDUCIR;POSICION;RUBRO;DESC CAPITULO;DESC POSICION;DESC PARTIDA;MERCADERIA;MARCA ITEM;ACUERDO;DERECHO;ISC;SERVICIO;RENTA;IVA;OTROS;TOTAL
"26DA000000121787";"EXPORTACION";"EFC1";"EXPORTACION COMPLEMENTARIA";"16/03/2026";"18/03/2026";"2026";"MARZO";"TERPORT - VILLETA";6499.04;"ACUATICO";"V";1;"PY - PARAGUAY";"VN - VIETNAM";"NUEVO";"KILOGRAMO";144774.4;19359.6;19410;6402.03;0;0;6402.03;41607049.05;0;0;"5201.00.20.000V";"MATERIAS TEXTILES (TEJIDOS)";"CAPITULO 52 ALGODON";"CAPITULO 52 ALGODON      ALGODON SIN CARDAR NI PEINAR.       Simplemente desmotado.";" ";"482 FARDOS DE FIBRA DE ALGODON";"CHORTITZER";"SIN ACUERDO";0;0;0;0;0;0;0
"26DA000000121788";"EXPORTACION";"EFC1";"EXPORTACION COMPLEMENTARIA";"16/03/2026";"18/03/2026";"2026";"MARZO";"TERPORT - VILLETA";6499.04;"ACUATICO";"V";1;"PY - PARAGUAY";"VN - VIETNAM";"NUEVO";"KILOGRAMO";144774.4;18839.6;18890;6230.07;0;0;6230.07;40489474.13;0;0;"5201.00.20.000V";"MATERIAS TEXTILES (TEJIDOS)";"CAPITULO 52 ALGODON";"CAPITULO 52 ALGODON      ALGODON SIN CARDAR NI PEINAR.       Simplemente desmotado.";" ";"482 FARDOS DE FIBRA DE ALGODON";"CHORTITZER";"SIN ACUERDO";0;0;0;0;0;0;0
"26DA000000121789";"IMPORTACION";"IFC1";"IMPORTACION DE FRACCIONES COMPLEMENTARIAS";"17/03/2026";"18/03/2026";"2026";"MARZO";"JOSE FALCON";6487.88;"CAMION";"R";1;"UY - URUGUAY";"UY - URUGUAY";"NUEVO";"KILOGRAMO";83390;83390;83390;113960;7811.37;1.04;51096.17;331505834.47;0;0;"1107.10.10.000U";"PRODUCTOS DE MOLINERIA (ALMIDON Y HARINAS)";"CAPITULO 11PRODUCTOS DE LA MOLINERIA; MALTA; ALMIDON YFECULA; INULINA; GLUTEN DE TRIGO";"CAPITULO 11PRODUCTOS DE LA MOLINERIA; MALTA; ALMIDON YFECULA; INULINA; GLUTEN DE TRIGO  MALTA (DE CEBADA U OTROS CEREALES), INCLUSO \nTOSTADA.    -Sin tostar.       Entera o partida";"MALTA (DE CEBADA U OTROS CEREALES), INCLUSO \nTOSTADA. ";"MALTA CEBADA CERVECERA CERVECERA A GRANEL";"SIN MARCA";"MERCOSUR";0;0;0;0;0;0;0
"26DA000000121790";"EXPORTACION";"EFC1";"EXPORTACION COMPLEMENTARIA";"17/03/2026";"18/03/2026";"2026";"MARZO";"TERPORT";6487.88;"CAMION";"V";1;"US - ESTADOS UNIDOS DE AMERICA";"BO - BOLIVIA";"NUEVO";"LITROS";37305;26500;26500;26374.63;0;0;26374.63;171115434.48;0;0;"2710.12.59.200A";"COMBUSTIBLES Y DEMAS PRODUCTOS DERIVADOS DEL PETROLEO";"CAPITULO 27 COMBUSTIBLES MINERALES, ACEITES MINERALES  Y PRODUCTOS DE SU DESTILACION; MATERIAS BITUMINOSAS; CERAS MINERALES.";"CAPITULO 27 COMBUSTIBLES MINERALES, ACEITES MINERALES  Y PRODUCTOS DE SU DESTILACION; MATERIAS BITUMINOSAS; CERAS MINERALES.  ACEITES DE PETR¿LEO O DE MINERAL BITUMINOSO, EXCEPTO LOS ACEITES CRUDOS; PREPARACIONES NO EXPRESADAS NI COMPRENDIDAS EN OTRA PARTE, CON UN CONTENIDO DE ACEITES DE PETR¿LEO O DE MINERAL \nBITUMINOSO SUPERIOR O IGUAL AL 70 % EN PESO,  EN LAS QUE ESTOS ACEITES CONSTITUYAN EL ELEMENTO BASE; DESECHOS DE ACEITES. - Aceites de petr¿leo o de mineral bituminoso (excepto los aceites crudos) y preparaciones no expresadas ni comprendidas en otra parte, con un contenido de aceites de petr¿leo o de mineral bituminoso superior o igual al 70 % en peso, en las que estos aceites constituyan el elemento base, excepto las que contengan biodi¿sel  y los desechos de aceites:  - Aceites de petr¿leo o de mineral bituminoso (excepto los aceites crudos) y preparaciones no expresadas ni comprendidas en otra parte, con un contenido de aceites de petr¿leo o de mineral bituminoso superior o igual al 70 % en peso, en las que estos aceites constituyan el elemento base, excepto las que contengan biodi¿sel  y los desechos de aceites: -- Aceites livianos (ligeros)* y preparaciones\r\n --- Gasolinas\r\n ---- Las demas  Gasolinas (Naftas) sin plomo inferior o igual a 88 octanos";"ACEITES DE PETR¿LEO O DE MINERAL BITUMINOSO, EXCEPTO LOS ACEITES CRUDOS; PREPARACIONES NO EXPRESADAS NI COMPRENDIDAS EN OTRA PARTE, CON UN CONTENIDO DE ACEITES DE PETR¿LEO O DE MINERAL \nBITUMINOSO SUPERIOR O IGUAL AL 70 % EN PESO,  EN LAS QUE ESTOS ACEITES CONSTITUYAN EL ELEMENTO BASE; DESECHOS DE ACEITES. - Aceites de petr¿leo o de mineral bituminoso (excepto los aceites crudos) y preparaciones no expresadas ni comprendidas en otra parte, con un contenido de aceites de petr¿leo o de mineral bituminoso superior o igual al 70 % en peso, en las que estos aceites constituyan el elemento base, excepto las que contengan biodi¿sel  y los desechos de aceites:";"GASOLINA RON 85";"VITOL";"SIN ACUERDO";0;0;0;0;0;0;0
"26DA000000121791";"EXPORTACION";"EC09";"REEXPORTACION DESDE DEPOSITO ADUANERO";"17/03/2026";"18/03/2026";"2026";"MARZO";"TERPORT";6487.88;"CAMION";"V";1;"US - ESTADOS UNIDOS DE AMERICA";"BO - BOLIVIA";"NUEVO";"LITROS";37305;26500;26500;26374.63;0;0;26374.63;171115434.48;0;0;"2710.12.59.200A";"COMBUSTIBLES Y DEMAS PRODUCTOS DERIVADOS DEL PETROLEO";"CAPITULO 27 COMBUSTIBLES MINERALES, ACEITES MINERALES  Y PRODUCTOS DE SU DESTILACION; MATERIAS BITUMINOSAS; CERAS MINERALES.";"CAPITULO 27 COMBUSTIBLES MINERALES, ACEITES MINERALES  Y PRODUCTOS DE SU DESTILACION; MATERIAS BITUMINOSAS; CERAS MINERALES.  ACEITES DE PETR¿LEO O DE MINERAL BITUMINOSO, EXCEPTO LOS ACEITES CRUDOS; PREPARACIONES NO EXPRESADAS NI COMPRENDIDAS EN OTRA PARTE, CON UN CONTENIDO DE ACEITES DE PETR¿LEO O DE MINERAL \nBITUMINOSO SUPERIOR O IGUAL AL 70 % EN PESO,  EN LAS QUE ESTOS ACEITES CONSTITUYAN EL ELEMENTO BASE; DESECHOS DE ACEITES. - Aceites de petr¿leo o de mineral bituminoso (excepto los aceites crudos) y preparaciones no expresadas ni comprendidas en otra parte, con un contenido de aceites de petr¿leo o de mineral bituminoso superior o igual al 70 % en peso, en las que estos aceites constituyan el elemento base, excepto las que contengan biodi¿sel  y los desechos de aceites:  - Aceites de petr¿leo o de mineral bituminoso (excepto los aceites crudos) y preparaciones no expresadas ni comprendidas en otra parte, con un contenido de aceites de petr¿leo o de mineral bituminoso superior o igual al 70 % en peso, en las que estos aceites constituyan el elemento base, excepto las que contengan biodi¿sel  y los desechos de aceites: -- Aceites livianos (ligeros)* y preparaciones\r\n --- Gasolinas\r\n ---- Las demas  Gasolinas (Naftas) sin plomo inferior o igual a 88 octanos";"ACEITES DE PETR¿LEO O DE MINERAL BITUMINOSO, EXCEPTO LOS ACEITES CRUDOS; PREPARACIONES NO EXPRESADAS NI COMPRENDIDAS EN OTRA PARTE, CON UN CONTENIDO DE ACEITES DE PETR¿LEO O DE MINERAL \nBITUMINOSO SUPERIOR O IGUAL AL 70 % EN PESO,  EN LAS QUE ESTOS ACEITES CONSTITUYAN EL ELEMENTO BASE; DESECHOS DE ACEITES. - Aceites de petr¿leo o de mineral bituminoso (excepto los aceites crudos) y preparaciones no expresadas ni comprendidas en otra parte, con un contenido de aceites de petr¿leo o de mineral bituminoso superior o igual al 70 % en peso, en las que estos aceites constituyan el elemento base, excepto las que contengan biodi¿sel  y los desechos de aceites:";"GASOLINA RON 85";"VITOL";"SIN ACUERDO";0;0;0;0;0;0;0
"26DA000000121792";"EXPORTACION";"EFC1";"EXPORTACION COMPLEMENTARIA";"17/03/2026";"18/03/2026";"2026";"MARZO";"TERPORT";6487.88;"CAMION";"V";1;"US - ESTADOS UNIDOS DE AMERICA";"BO - BOLIVIA";"NUEVO";"LITROS";71665;25890;25890;25680.36;0;0;25680.36;166611094.04;0;0;"2710.12.59.200A";"COMBUSTIBLES Y DEMAS PRODUCTOS DERIVADOS DEL PETROLEO";"CAPITULO 27 COMBUSTIBLES MINERALES, ACEITES MINERALES  Y PRODUCTOS DE SU DESTILACION; MATERIAS BITUMINOSAS; CERAS MINERALES.";"CAPITULO 27 COMBUSTIBLES MINERALES, ACEITES MINERALES  Y PRODUCTOS DE SU DESTILACION; MATERIAS BITUMINOSAS; CERAS MINERALES.  ACEITES DE PETR¿LEO O DE MINERAL BITUMINOSO, EXCEPTO LOS ACEITES CRUDOS; PREPARACIONES NO EXPRESADAS NI COMPRENDIDAS EN OTRA PARTE, CON UN CONTENIDO DE ACEITES DE PETR¿LEO O DE MINERAL \nBITUMINOSO SUPERIOR O IGUAL AL 70 % EN PESO,  EN LAS QUE ESTOS ACEITES CONSTITUYAN EL ELEMENTO BASE; DESECHOS DE ACEITES. - Aceites de petr¿leo o de mineral bituminoso (excepto los aceites crudos) y preparaciones no expresadas ni comprendidas en otra parte, con un contenido de aceites de petr¿leo o de mineral bituminoso superior o igual al 70 % en peso, en las que estos aceites constituyan el elemento base, excepto las que contengan biodi¿sel  y los desechos de aceites:  - Aceites de petr¿leo o de mineral bituminoso (excepto los aceites crudos) y preparaciones no expresadas ni comprendidas en otra parte, con un contenido de aceites de petr¿leo o de mineral bituminoso superior o igual al 70 % en peso, en las que estos aceites constituyan el elemento base, excepto las que contengan biodi¿sel  y los desechos de aceites: -- Aceites livianos (ligeros)* y preparaciones\r\n --- Gasolinas\r\n ---- Las demas  Gasolinas (Naftas) sin plomo inferior o igual a 88 octanos";"ACEITES DE PETR¿LEO O DE MINERAL BITUMINOSO, EXCEPTO LOS ACEITES CRUDOS; PREPARACIONES NO EXPRESADAS NI COMPRENDIDAS EN OTRA PARTE, CON UN CONTENIDO DE ACEITES DE PETR¿LEO O DE MINERAL \nBITUMINOSO SUPERIOR O IGUAL AL 70 % EN PESO,  EN LAS QUE ESTOS ACEITES CONSTITUYAN EL ELEMENTO BASE; DESECHOS DE ACEITES. - Aceites de petr¿leo o de mineral bituminoso (excepto los aceites crudos) y preparaciones no expresadas ni comprendidas en otra parte, con un contenido de aceites de petr¿leo o de mineral bituminoso superior o igual al 70 % en peso, en las que estos aceites constituyan el elemento base, excepto las que contengan biodi¿sel  y los desechos de aceites:";"GASOLINA RON 85";"VITOL";"SIN ACUERDO";0;0;0;0;0;0;0
"26DA000000121793";"IMPORTACION";"IC04";"IMPORTACION A CONSUMO CON DOCUMENTO DE TRANSPORTE";"18/03/2026";"18/03/2026";"2026";"MARZO";"PAKSA";6468.07;"CAMION";"V";8;"BR - BRASIL";"BR - BRASIL";"NUEVO";"KILOGRAMO";5600;5600;5700;3922.9;461.11;39.22;4423.23;28609761.27;0;0;"3824.40.00.000A";"PRODUCTOS QUIMICOS";"CAPITULO 38PRODUCTOS DIVERSOS DE LA INDUSTRIA QUIMICA";"CAPITULO 38PRODUCTOS DIVERSOS DE LA INDUSTRIA QUIMICA  PREPARACIONES AGLUTINANTES PARA MOLDES O NUCLEOS DE FUNDICION; PRODUCTOS QUIMICOS Y PREPARACIONES DE LA INDUSTRIA QUIMICA O DE LAS INDUSTRIAS CONEXAS (INCLUIDAS LAS MEZCLAS DE PRODUCTOS NATURALES), NO EXPRESADOS NI COMPRENDIDOS EN OTRA PARTE, PRODUCTOS RESIDUALES DE LA INDUSTRIA QUIMICA O DE LAS INDUSTRIAS CONEXAS, NO EXPRESADOS NI COMPRENDIDOS EN OTRA PARTE.        -Aditivos preparados para cementos, morteros u hormigones.";"PREPARACIONES AGLUTINANTES PARA MOLDES O NUCLEOS DE FUNDICION; PRODUCTOS QUIMICOS Y PREPARACIONES DE LA INDUSTRIA QUIMICA O DE LAS INDUSTRIAS CONEXAS (INCLUIDAS LAS MEZCLAS DE PRODUCTOS NATURALES), NO EXPRESADOS NI COMPRENDIDOS EN OTRA PARTE, PRODUCTOS RESIDUALES DE LA INDUSTRIA QUIMICA O DE LAS INDUSTRIAS CONEXAS, NO EXPRESADOS NI COMPRENDIDOS EN OTRA PARTE. ";"5600) KILOGRAMOS EMCORIL TRAFFIC 200KG.";"MC";"MERCOSUR";0;0;143049;0;2875281;115011;3133341
"26DA000000121793";"IMPORTACION";"IC04";"IMPORTACION A CONSUMO CON DOCUMENTO DE TRANSPORTE";"18/03/2026";"18/03/2026";"2026";"MARZO";"PAKSA";6468.07;"CAMION";"V";9;"BR - BRASIL";"BR - BRASIL";"NUEVO";"KILOGRAMO";1600;1600;1700;2894.96;340.28;28.94;3264.18;21112944.73;0;0;"3824.40.00.000A";"PRODUCTOS QUIMICOS";"CAPITULO 38PRODUCTOS DIVERSOS DE LA INDUSTRIA QUIMICA";"CAPITULO 38PRODUCTOS DIVERSOS DE LA INDUSTRIA QUIMICA  PREPARACIONES AGLUTINANTES PARA MOLDES O NUCLEOS DE FUNDICION; PRODUCTOS QUIMICOS Y PREPARACIONES DE LA INDUSTRIA QUIMICA O DE LAS INDUSTRIAS CONEXAS (INCLUIDAS LAS MEZCLAS DE PRODUCTOS NATURALES), NO EXPRESADOS NI COMPRENDIDOS EN OTRA PARTE, PRODUCTOS RESIDUALES DE LA INDUSTRIA QUIMICA O DE LAS INDUSTRIAS CONEXAS, NO EXPRESADOS NI COMPRENDIDOS EN OTRA PARTE.        -Aditivos preparados para cementos, morteros u hormigones.";"PREPARACIONES AGLUTINANTES PARA MOLDES O NUCLEOS DE FUNDICION; PRODUCTOS QUIMICOS Y PREPARACIONES DE LA INDUSTRIA QUIMICA O DE LAS INDUSTRIAS CONEXAS (INCLUIDAS LAS MEZCLAS DE PRODUCTOS NATURALES), NO EXPRESADOS NI COMPRENDIDOS EN OTRA PARTE, PRODUCTOS RESIDUALES DE LA INDUSTRIA QUIMICA O DE LAS INDUSTRIAS CONEXAS, NO EXPRESADOS NI COMPRENDIDOS EN OTRA PARTE. ";"1600) KILOGRAMOS EMCORIL COMPACT PRO 200KG.";"MC";"MERCOSUR";0;0;105565;0;2121851;84874;2312290
"26DA000000121793";"IMPORTACION";"IC04";"IMPORTACION A CONSUMO CON DOCUMENTO DE TRANSPORTE";"18/03/2026";"18/03/2026";"2026";"MARZO";"PAKSA";6468.07;"CAMION";"V";14;"DE - ALEMANIA";"BR - BRASIL";"NUEVO";"KILOGRAMO";180;180;180;879.52;103.38;8.79;991.69;6414320;0;0;"3214.10.20.000T";"COLORANTES Y PINTURAS";"CAPITULO 32 EXTRACTOS CURTIENTES O TINTOREOS; TANINOS Y SUSDERIVADOS; PIGMENTOS Y DEMAS MATERIAS COLORANTES;  PINTURAS Y BARNICES; MASTIQUES; TINTAS";"CAPITULO 32 EXTRACTOS CURTIENTES O TINTOREOS; TANINOS Y SUSDERIVADOS; PIGMENTOS Y DEMAS MATERIAS COLORANTES;  PINTURAS Y BARNICES; MASTIQUES; TINTAS  MASILLA, CEMENTOS DE RESINA Y DEMAS MASTIQUES;\nPLASTES (ENDUIDOS) UTILIZADOS EN PINTURA; PLASTES (ENDUIDOS) NO REFRACTARIOS DE LOS TIPOS UTILIZADOS EN ALBA¿ILERIA.    -Masilla, cementos de resina y dem¿s mastiques, plastes (enduidos) utilizados en pintura.       Plastes (endu¿dos) utilizados en pintura.";"MASILLA, CEMENTOS DE RESINA Y DEMAS MASTIQUES;\nPLASTES (ENDUIDOS) UTILIZADOS EN PINTURA; PLASTES (ENDUIDOS) NO REFRACTARIOS DE LOS TIPOS UTILIZADOS EN ALBA¿ILERIA. ";"180) KILOGRAMOS MC DUR 1320VK COMP A 18 KG.";"MC";"SIN ACUERDO";808204;0;32072;0;725460;29018;1594754
"26DA000000121793";"IMPORTACION";"IC04";"IMPORTACION A CONSUMO CON DOCUMENTO DE TRANSPORTE";"18/03/2026";"18/03/2026";"2026";"MARZO";"PAKSA";6468.07;"CAMION";"V";4;"BR - BRASIL";"BR - BRASIL";"NUEVO";"KILOGRAMO";2450;2450;2550;573.67;67.43;5.73;646.83;4183741.72;0;0;"3214.90.00.000L";"COLORANTES Y PINTURAS";"CAPITULO 32 EXTRACTOS CURTIENTES O TINTOREOS; TANINOS Y SUSDERIVADOS; PIGMENTOS Y DEMAS MATERIAS COLORANTES;  PINTURAS Y BARNICES; MASTIQUES; TINTAS";"CAPITULO 32 EXTRACTOS CURTIENTES O TINTOREOS; TANINOS Y SUSDERIVADOS; PIGMENTOS Y DEMAS MATERIAS COLORANTES;  PINTURAS Y BARNICES; MASTIQUES; TINTAS  MASILLA, CEMENTOS DE RESINA Y DEMAS MASTIQUES;\nPLASTES (ENDUIDOS) UTILIZADOS EN PINTURA; PLASTES (ENDUIDOS) NO REFRACTARIOS DE LOS TIPOS UTILIZADOS EN ALBA¿ILERIA.        -Los dem¿s.";"MASILLA, CEMENTOS DE RESINA Y DEMAS MASTIQUES;\nPLASTES (ENDUIDOS) UTILIZADOS EN PINTURA; PLASTES (ENDUIDOS) NO REFRACTARIOS DE LOS TIPOS UTILIZADOS EN ALBA¿ILERIA. ";"2450) KILOGRAMOS NAFUFILL CR 25KG.";"MC";"MERCOSUR";0;0;20919;0;420466;16819;458204
